step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
6500,0.03228788450360298,0.96,0.8,1.0,0.9523809523809523,1.0,0.975609756097561,0.4623844029946794,0.8521882741535921,0.6715116279069767,0.9238754325259516,0.8763676148796499,0.9238754325259516,0.8994946659180236
6600,0.03185194358229637,0.96,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9696969696969697,0.4845067494573141,0.8521882741535921,0.6976744186046512,0.9134948096885813,0.8839285714285714,0.9134948096885813,0.8984685195689166
6700,0.02179058827459812,1.0,1.0,1.0,1.0,1.0,1.0,0.5145100769370629,0.8554913294797688,0.6976744186046512,0.9181084198385236,0.8844444444444445,0.9181084198385236,0.9009620826259197
6800,0.03882099688053131,0.96,0.8181818181818182,1.0,0.9512195121951219,1.0,0.975,0.5074445617712608,0.861271676300578,0.7645348837209303,0.8996539792387543,0.9059233449477352,0.8996539792387543,0.9027777777777778
6900,0.033806249499320984,0.96,0.8461538461538461,1.0,0.9487179487179487,1.0,0.9736842105263158,0.547810284692766,0.8546655656482246,0.7093023255813954,0.9123414071510957,0.8877665544332211,0.9123414071510957,0.8998862343572241
7000,0.04920516163110733,0.96,0.8333333333333334,1.0,0.95,1.0,0.9743589743589743,0.5418276805678944,0.8620974401321222,0.7354651162790697,0.9123414071510957,0.8968253968253969,0.9123414071510957,0.9045168667810177
7100,0.022588500753045082,1.0,1.0,1.0,1.0,1.0,1.0,0.5477425764402177,0.8546655656482246,0.7325581395348837,0.903114186851211,0.8948571428571429,0.903114186851211,0.8989667049368542
7200,0.0392371229827404,0.96,0.9333333333333333,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.5388056667384119,0.8596201486374897,0.7354651162790697,0.908881199538639,0.8964732650739476,0.908881199538639,0.9026345933562429
7300,0.032539304345846176,0.94,0.8888888888888888,0.96875,0.9393939393939394,0.96875,0.9538461538461539,0.5567731596024976,0.856317093311313,0.7034883720930233,0.916955017301038,0.8862876254180602,0.916955017301038,0.9013605442176871
7400,0.025351231917738914,1.0,1.0,1.0,1.0,1.0,1.0,0.5414956892892319,0.8480594549958712,0.7063953488372093,0.9042675893886967,0.8858757062146893,0.9042675893886967,0.8949771689497718
7500,0.039198484271764755,0.94,0.8,1.0,0.9210526315789473,1.0,0.958904109589041,0.550749156906401,0.8505367464905037,0.7093023255813954,0.9065743944636678,0.8871331828442438,0.9065743944636678,0.896748431260696
7600,0.03017089143395424,0.96,0.8666666666666667,1.0,0.9459459459459459,1.0,0.9722222222222222,0.5296202097902998,0.8530140379851362,0.7122093023255814,0.908881199538639,0.8883878241262683,0.908881199538639,0.8985176738882553
7700,0.035244960337877274,0.96,0.9166666666666666,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.5393399395212535,0.8513625103220479,0.7034883720930233,0.9100346020761245,0.8855218855218855,0.9100346020761245,0.8976109215017065
7800,0.04616283252835274,0.94,0.7692307692307693,1.0,0.925,1.0,0.961038961038961,0.5000676665380036,0.856317093311313,0.7412790697674418,0.9019607843137255,0.8978185993111366,0.9019607843137255,0.8998849252013809
7900,0.028823036700487137,1.0,1.0,1.0,1.0,1.0,1.0,0.5426016690822792,0.8521882741535921,0.7238372093023255,0.903114186851211,0.8917995444191344,0.903114186851211,0.8974212034383955
8000,0.02257573790848255,0.98,0.875,1.0,0.9767441860465116,1.0,0.988235294117647,0.507333656722754,0.856317093311313,0.7151162790697675,0.9123414071510957,0.889763779527559,0.9123414071510957,0.9009111617312071
8100,0.07593268156051636,0.94,0.9090909090909091,0.9487179487179487,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.48280545479609566,0.8497109826589595,0.7296511627906976,0.8973471741637832,0.8932261768082663,0.8973471741637832,0.8952819332566169
8200,0.0661427229642868,0.92,0.75,0.9736842105263158,0.925,0.9736842105263158,0.9487179487179489,0.49874335121250213,0.8645747316267548,0.7325581395348837,0.916955017301038,0.8962795941375423,0.916955017301038,0.9064994298745725
8300,0.019751086831092834,1.0,1.0,1.0,1.0,1.0,1.0,0.5059070322027084,0.8620974401321222,0.7093023255813954,0.922722029988466,0.8888888888888888,0.922722029988466,0.9054895302773062
8400,0.06885060667991638,0.96,0.9166666666666666,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.6343208198399684,0.8505367464905037,0.6511627906976745,0.9296424452133795,0.8704103671706264,0.9296424452133795,0.8990518683770218
8500,0.056815579533576965,0.94,0.9,0.9666666666666667,0.9354838709677419,0.9666666666666667,0.9508196721311476,0.5217003247659808,0.8538398018166804,0.6831395348837209,0.9215686274509803,0.8799559471365639,0.9215686274509803,0.9002816901408449
8600,0.027711529284715652,0.96,0.9411764705882353,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.5484087124293585,0.8596201486374897,0.7209302325581395,0.9146482122260668,0.8920134983127109,0.9146482122260668,0.9031890660592256
8700,0.07377059757709503,0.92,0.8461538461538461,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.5044933314915588,0.8505367464905037,0.688953488372093,0.9146482122260668,0.8811111111111111,0.9146482122260668,0.8975664968873798
8800,0.046212177723646164,0.98,0.9333333333333333,1.0,0.9722222222222222,1.0,0.9859154929577464,0.5122432114443322,0.8579686209744013,0.7616279069767442,0.8961937716262975,0.9045401629802096,0.8961937716262975,0.9003476245654694
8900,0.04982239753007889,0.94,0.8571428571428571,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,0.5759029793747559,0.8554913294797688,0.7267441860465116,0.9065743944636678,0.8931818181818182,0.9065743944636678,0.8998282770463651
